word,f_ev,f_mv,s_prop
aak,5,2,0
aal,32,14,0
aalbes,0,1,0
aalmoes,33,25,0
aalmoezenier,33,2,1
aalscholver,5,3,1
aambeeld,21,2,0
aambei,9,31,0
aanbesteding,2,1,0
aanbetaling,138,3,0
aanbeveling,145,55,0
aanbevelingsbrief,36,9,0
aanbidder,71,38,1
aanbidster,1,4,1
aanbieding,181,103,0
aandeel,428,670,0
aandeelhouder,50,93,1
aandelenoptie,0,3,1
aandoening,124,28,0
aandrijver,0,1,1
aandrijving,63,1,0
aanduiding,11,3,0
aanfluiting,24,1,0
aangelegenheid,73,33,0
aangever,21,2,1
aanhalingsteken,0,8,1
aanhanger,67,85,1
aanhangsel,16,2,1
aanhouding,59,8,0
aanhoudingsbevel,46,11,0
aanjager,1,1,1
aanklacht,964,209,0
aanklager,666,73,1
aanknopingspunt,47,25,0
aankomst,322,9,0
aankomsttijd,50,2,0
aankondiging,134,23,0
aankoop,107,26,0
aanlegplaats,8,2,0
aanlegsteiger,1,1,1
aanleiding,146,3,0
aanloophaven,0,2,1
aanmaning,11,8,0
aanmelding,13,13,0
aanmeldingsformulier,8,5,0
aanmerking,128,6,0
aanmoediging,58,6,0
aanname,24,11,1
aannemer,116,32,1
aanpassing,66,94,0
aanpassingsprobleem,0,8,0
aanplakbiljet,7,9,0
aanplakbord,3,3,0
aanplakzuil,0,1,0
aanrader,4,1,1
aanraking,129,13,0
aanrander,14,8,1
aanranding,108,7,0
aanrijding,72,5,0
aanschaf,15,1,0
aanslag,746,144,0
aansluiting,56,11,0
aansluitingsmogelijkheid,0,1,0
aansluitingspunt,0,2,0
aanspraak,78,12,0
aanspreektitel,0,1,1
aanstaande,0,1,0
aansteker,252,18,1
aansteller,29,6,1
aanstelling,103,1,0
aanstellingsbrief,0,1,0
aanstichter,17,9,1
aantal,2248,80,0
aantekening,64,362,0
aantijging,28,65,0
aantrede,0,21,0
aantrekking,42,1,0
aantrekkingskracht,138,2,0
aanvaller,119,64,1
aanvalskracht,0,1,0
aanvalsplan,32,3,0
aanvalspositie,10,1,1
aanvalswapen,2,10,1
aanvanger,0,1,1
aanvaring,59,9,0
aanverwant,0,2,0
aanvoerder,202,14,1
aanvraag,221,33,0
aanvrager,13,7,1
aanvulling,38,3,0
aanwerving,1,2,0
aanwezigheid,815,3,0
aanwijzer,0,2,1
aanwijzing,588,762,0
aanwijzingsbord,0,1,0
aanwinst,129,8,0
aanzet,60,6,0
aanzetter,1,1,1
aanzoek,261,9,0
aap,1204,621,0
aapje,190,40,1
aapmens,2,14,0
aardappelboer,0,1,0
aardappelschiller,3,1,1
aardbei,68,213,0
aardbeving,428,134,0
aardbewoner,20,40,1
aardbodem,66,1,1
aarde,3763,3,1
aardhoop,2,1,0
aardigheid,29,1,0
aardmannetje,4,3,1
aardnoot,1,1,0
aardpeer,0,1,0
aardpool,0,1,0
aardrijkskundeboek,3,1,0
aardschok,8,11,0
aardstraal,0,2,0
aardvarken,1,1,1
aardverschuiving,14,2,0
